,Population that can work from home,Total working population,Work from home populuation ratio,Population commutes using transit,All working population,Transit commuting population ratio,B,google_trend,# Unique users,# Total posts,pop,social_rate,car_pop,all_pop,car_ratio,average_commute_time,p55,p65,p75,p85,total_pop,pp55,pp65,pp75,pp85
 Riverside Transit Agency ,415777,1007795,0.412561086,13077,984230,0.013286529,-0.639778041,38,224,448,2383286,9.39879E-05,889302,984230,0.903550999,33,593801,141837,141837,39937,2383286,0.249152221,0.05951321,0.05951321,0.016757116
 RTC Southern Nevada ,403489,1003320,0.402153849,37928,989494,0.038330702,-0.59807738,39,372,713,2141574,0.000173704,876136,989494,0.885438416,25,551887,114012,114012,27096,2141574,0.257701578,0.053237479,0.053237479,0.012652376
 RTD ,221241,389034,0.568693225,25931,382460,0.067800554,-0.775809321,46,162,288,693417,0.000233626,296502,382460,0.775249699,25,149293,31716,31716,10342,693417,0.215300461,0.045738711,0.045738711,0.014914546
 SamTrans ,242291,409911,0.591081967,43421,401339,0.108190333,-0.817200798,33,128,216,765935,0.000167116,315367,401339,0.785787078,29,216832,51657,51657,17686,765935,0.283094518,0.06744306,0.06744306,0.023090732
 Santa Clarita Transit ,2390559,4869658,0.490909013,294952,4749180,0.062105879,-0.70468254,38,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,2478262,564884,564884,180184,10098052,0.24541981,0.055939898,0.055939898,0.017843441
 Santa Cruz Metro ,68700,134904,0.509251023,3938,131355,0.029979826,-0.797049025,37,6,7,273765,2.19166E-05,102267,131355,0.778554299,27,78736,15134,15134,4553,273765,0.287604332,0.055280989,0.055280989,0.016631052
 SEPTA - Bus ,346569,688298,0.503515919,170009,671083,0.25333528,-0.601884812,35,318,533,1575522,0.000201838,396741,671083,0.591195128,33,389520,90257,90257,28044,1575522,0.247232346,0.057287045,0.057287045,0.017799815
 SEPTA - Rail ,346569,688298,0.503515919,170009,671083,0.25333528,-0.588396043,35,318,533,1575522,0.000201838,396741,671083,0.591195128,33,389520,90257,90257,28044,1575522,0.247232346,0.057287045,0.057287045,0.017799815
 Shore Line East ,230791,427791,0.539494753,18032,420437,0.042888709,-0.682289407,41,130,307,859339,0.000151279,363156,420437,0.863758423,25,260059,63374,63374,22629,859339,0.302626786,0.07374738,0.07374738,0.02633303
 SMART ,327635,734480,0.446077497,22458,718904,0.03123922,-0.579207058,46,45,66,1761382,2.55481E-05,648813,718904,0.902502977,25,493264,109473,109473,35049,1761382,0.280043738,0.062151765,0.062151765,0.01989858
 SORTA - Metro ,216495,402685,0.537628668,14848,394869,0.037602344,-0.558641672,48,13,15,812037,1.60091E-05,345772,394869,0.875662562,23,227365,52535,52535,17970,812037,0.279993399,0.064695328,0.064695328,0.022129534
 Sound Transit ,723559,1176560,0.614978412,157462,1153731,0.136480687,-0.761991603,32,108,156,2163257,4.99247E-05,826647,1153731,0.716498907,30,536610,110557,110557,37447,2163257,0.248056518,0.051106734,0.051106734,0.017310472
 Suffolk County Transit ,387407,744693,0.52022377,48427,731739,0.066180701,-0.686755085,36,128,219,1487901,8.60272E-05,638924,731739,0.873158326,32,445835,104102,104102,32165,1487901,0.299640231,0.069965676,0.069965676,0.021617702
