_id,B,L_corona,b,convergent_point,country,county,county_FIPS,divergent_point,k,decay_duration,response_interval_cliff_0,k_corona,l_corona,lat,lon,metro_area,modified_at,modified_at_corona,name,state,state_FIPS,t0,t0_corona,google_trend,distance,stretch_factor,average_procrustes_distance,first_peak_normal,first_peak_actual,second_peak_normal,second_peak_actual,first_peak_diff,second_peak_diff,google_trend_COVID19,google_trend_Coronavirus
5e88da2b7e859234c8cba955,-0.642949887,309.2537213,0.037421872,38.16737023,US,Hartford,9003,20.22463302,0.408361512,17.94243529,7.77536698,0.064422394,-162.3236697,41.87,-72.67,Hartford,20200517,20200521,CTTransit Hartford,Connecticut,9,29.19600162,52,41,0.115933302,1.58178156,0.380975704,8,8.285714286,15.85,14.625,0.323529412,-1.225,65,72
5e88da2b7e859234c8cba956,-0.719502688,309.2537213,0.057903601,37.30553323,US,Hartford,9003,20.25022069,0.429609441,17.05502556,7.749779308,0.064422394,-162.3236697,41.87,-72.67,New Britain,20200517,20200521,CTTransit New Britain,Connecticut,9,28.77787696,52,41,,,,,,,,,,65,72
5e88da2b7e859234c8cba957,-0.641629046,492.6445601,0.018429292,39.42465835,US,New Haven,9009,19.20837103,0.362436642,20.21594715,8.791628967,0.061116316,-259.5845663,41.34,-73.06,New Haven,20200517,20200521,CTTransit New Haven,Connecticut,9,29.31651469,52,41,0.325059116,1.569213918,0.452699799,7.891891892,8.942857143,15.3,14.2,1.212121212,-1.1,65,72
5e88da2b7e859234c8cba958,-0.711420344,942.308745,0.033427191,39.14328592,US,Fairfield,9001,18.6611145,0.357731763,20.48182677,4.338885497,0.051021703,-552.9484778,41.39,-73.31,Stamford,20200517,20200521,CTTransit Stamford,Connecticut,9,28.90220021,47,36,,,,,,,,,,56,79
5e88da2b7e859234c8cba959,-0.809775187,99.95676702,0.011799901,36.47818394,US,Los Angeles,6037,18.1810221,0.400451357,18.29685395,-38.1810221,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,Culver CityBus,California,6,27.32960302,4,38,0.349503612,2.881464757,0.473328666,7,7.525,16.65,15.675,0.525,-0.975,62,73
5e88da2b7e859234c8cba95a,-0.553391909,333.4583555,0.017867704,39.37308052,US,Dallas,48113,20.3169662,0.384502484,19.05579366,3.683033796,0.047921009,-174.735809,32.96,-96.83,Dallas,20200517,20200521,DART,Texas,48,29.84502336,48,46,,,,,,,,,,56,63
5e88da2b7e859234c8cba95b,-0.790507076,250.8508828,-0.010947989,49.83289245,US,Washington,11001,16.08588234,0.217119184,33.74644225,5.914117658,0.056049161,-154.4784731,38.89,-77.03,Washington D.C.,20200517,20200521,DC Circulator,D.C,11,32.9593874,46,27,0.350809517,1.28469796,0.588128446,8,6.475,16.725,15.225,-1.525,-1.5,60,76
5e88da2b7e859234c8cba95c,-0.703985447,2684.241705,0.03819853,46.73291526,US,Wayne,26163,15.09370157,0.231583609,31.6386813,8.90629843,0.040307239,-1466.427219,42.25,-83.21,Detroit,20200517,20200521,DDOT,Michigan,26,30.91330841,48,46,0.164594017,1.564974889,0.402943324,7.897435897,8.606060606,15.325,15.15,0.65625,-0.175,68,79
5e88da2b7e859234c8cba95d,-0.657919657,250.8508828,0.002303428,52.33497047,US,Washington,11001,16.02956857,0.201819093,36.30479099,5.970431433,0.056049161,-154.4784731,38.89,-77.03,Washington D.C.,20200517,20200521,Fairfax Connector,D.C,11,34.18226952,46,27,0.075795636,1.190040149,0.324350903,7.025,6.7,15.7,15.2,-0.325,-0.5,60,76
5e88da2b7e859234c8cba95e,-0.733275206,99.95676702,0.020533497,35.47531452,US,Los Angeles,6037,19.10951625,0.447709496,16.36552288,-39.10951625,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,Foothill Transit,California,6,27.29241538,4,38,0.139152887,2.31330742,0.418618701,7.025,7.275,15.925,15.75,0.25,-0.175,62,73
5e88da2b7e859234c8cba95f,-0.652184657,256.9322371,-0.007579496,38.31458839,US,Cuyahoga,39035,20.54125392,0.412253722,17.77303541,2.458746083,0.043474649,-135.335345,41.36,-81.86,Cleveland,20200517,20200521,GCRTA,Ohio,39,29.42792116,47,48,0.227727692,1.850222351,0.525303089,7.325,8.638888889,15.35,15.2,1.305555556,-0.15,53,70
5e88da2b7e859234c8cba960,-0.763134942,99.95676702,0.01745511,34.8897943,US,Los Angeles,6037,20.343678,0.50371681,14.54587153,-40.343678,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,Glendale Beeline,California,6,27.61673615,4,38,,,,,,,,,,62,73
5e88da2b7e859234c8cba962,-0.572330316,52.84289242,0.003880087,46.28217128,US,Montgomery,39113,16.45041262,0.245614862,29.83125668,16.54958738,0.045022049,-20.19679277,39.83,-84.41,Dayton,20200517,20200521,Greater Dayton RTA,Ohio,39,31.36629195,57,46,0.25668617,1.289873087,0.455085903,7.325,8.5,15,14.35,1.107142857,-0.65,52,67
5e88da2b7e859234c8cba963,-0.827596473,69.44387746,0.001502151,37.31339453,US,Multnomah,41051,22.28276036,0.487479318,15.03038125,1.717239636,0.048626622,-37.70394802,45.55,-122.27,Portland,20200517,20200521,Greater Portland Metro Bus,Oregon,41,29.79807745,48,34,,,,,,,,,,67,73
5e88da2b7e859234c8cba964,-0.637188954,99.95676702,-0.014353519,36.30076367,US,Los Angeles,6037,18.79045664,0.418446306,17.51001239,-38.79045664,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,GTrans,California,6,27.54561016,4,38,0.179997949,2.08897525,0.396856099,7,7.175,16.275,15.6,0.175,-0.675,62,73
5e88da2b7e859234c8cba965,-0.69037655,309.2537213,0.051432905,41.06950375,US,Hartford,9003,18.66190232,0.326992753,22.40722439,9.338097683,0.064422394,-162.3236697,41.87,-72.67,Hartford,20200517,20200521,Hartford Line,Connecticut,9,29.86570303,52,41,,,,,,,,,,65,72
5e88da2b7e859234c8cba966,-0.676017179,25.18593528,0.041921704,63.43757004,US,Hampton,51650,11.75538718,0.141772713,51.68131321,28.24461282,0.048540786,-6.777214769,37.036325,-76.354938,Hampton,20200517,20200521,HRT,Virginia,51,37.59647861,64,36,,,,,,,,,,49,62
5e88da2b7e859234c8cba967,-0.377477632,165.2861656,0.015908865,40.26868137,US,Jackson,29095,16.81277786,0.312378642,23.45550882,15.18722214,0.043128425,-63.26862332,38.91,-94.38,Kansas City,20200502,20200521,KCATA,Missouri,29,28.54072962,56,40,,,,,,,,,,53,62
5e88da2b7e859234c8cba968,-0.826060192,322.9621301,0.024963873,43.18314233,US,King,53033,5.439203352,0.19412715,37.74330386,-29.43920335,0.032165406,-764.5281242,47.3,-122.26,Seattle,20200517,20200521,King County Metro,Washington,53,24.31117284,0,32,0.460414831,2.756676352,0.530750502,7.725,7.875,16.8,16.075,0.15,-0.725,74,78
5e88da2b7e859234c8cba969,-0.736466703,99.95676702,0.017781113,37.28424989,US,Los Angeles,6037,18.28410228,0.385635072,18.9998279,-38.28410228,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,LA DOT,California,6,27.78417608,4,38,0.26706574,2.238020045,0.394252049,7,6.625,15.275,15.725,-0.375,0.45,62,73
5e88da2b7e859234c8cba96a,-0.71888147,99.95676702,0.008047398,37.12401218,US,Los Angeles,6037,18.34112473,0.390095682,18.78257139,-38.34112473,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,LA Metro - Bus,California,6,27.73256846,4,38,0.264184388,2.287202048,0.378196926,7,6.75,15,15.25,-0.25,0.25,62,73
5e88da2b7e859234c8cba96b,-0.741779583,99.95676702,0.012614989,35.79343852,US,Los Angeles,6037,19.00202918,0.436361424,16.79112679,-39.00202918,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,LA Metro - Rail,California,6,27.39773385,4,38,0.253554749,2.37917869,0.405106115,7,6.575,16.575,15.9,-0.425,-0.675,62,73
5e88da2b7e859234c8cba96c,-0.722108683,376.0993558,-0.025566667,38.73871296,US,Clark,32003,22.82376954,0.46039267,15.91467562,-3.82376954,0.044994838,-246.6216957,36.14,-115.28,Las Vegas,20200517,20200521,Las Vegas Monorail,Nevada,32,30.78124125,43,39,0.212900249,1.391423084,0.533969063,8.5,7.975,15.35,14.775,-0.833333333,-0.575,53,70
5e88da2b7e859234c8cba96d,-0.734907137,99.95676702,0.01057794,37.1710398,US,Los Angeles,6037,18.58152157,0.394153479,18.58920543,-38.58152157,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,Long Beach Transit,California,6,27.87628068,4,38,0.149860715,2.020640483,0.41798214,7,7.974358974,15.475,15.125,0.974358974,-0.35,62,73
5e88da2b7e859234c8cba96e,-0.707762843,4010.270769,0.005534653,41.21295652,US,Suffolk,36103,17.36214585,0.307206468,23.85040933,4.637854146,0.044042268,-2387.768395,40.81,-73.04,NYC,20200517,20200521,Long Island Rail Road,New York,36,29.28755119,46,36,0.158250689,1.874928796,0.451953725,7,6.875,16.425,15.8,-0.125,-0.625,56,79
5e88da2b7e859234c8cba96f,-0.600252373,282.7187712,-0.00473445,40.06524489,US,Orange,12095,21.95423633,0.40456738,18.11070381,5.045763674,0.038340609,-137.6329036,28.68,-81.51,Orlando,20200517,20200521,Lynx,Florida,12,31.00974061,51,35,,,,,,,,,,57,72
5e88da2b7e859234c8cba970,-0.902042044,120.509508,-0.003735391,33.10165057,US,Dane,55025,24.04585274,0.809108532,9.055645454,-1.045852736,0.029719723,-67.61539253,42.86,-89.53,Madison,20200517,20200521,Madison Metro,Wisconsin,55,28.57375165,47,38,0.484544374,3.872066351,0.826153472,8,8.564102564,16.55,15.075,0.564102564,-1.475,65,69
5e88da2b7e859234c8cba971,-0.553619112,246.9884072,0.00283764,39.32773756,US,Fulton,13121,18.70588502,0.355308684,20.62150553,-1.705885022,0.045015089,-177.9341308,34.06,-84.27,Atlanta,20200517,20200521,MARTA,Georgia,13,29.01681129,41,56,,,,,,,,,,55,68
5e88da2b7e859234c8cba972,-0.802967277,75.60747795,-0.001111348,40.60539003,US,Suffolk,25025,17.95119117,0.323433344,22.65381767,-31.95119117,0.059117908,-424.1086449,42.35,-71.06,Boston,20200517,20200521,MBTA,Massachusetts,25,29.2782906,10,52,0.48176442,1.748039994,0.571112178,7,7.075,16.8,14.875,0.075,-1.925,71,74
5e88da2b7e859234c8cba973,-0.572220544,441.6072087,0.006133179,34.11390791,US,Milwaukee,55079,25.26124089,0.827674109,8.852518058,1.73875911,0.042638144,-200.359557,42.94,-87.86,Milwaukee County,20200517,20200521,MCTS,Wisconsin,55,29.6875744,51,37,0.180739054,1.48139342,0.506195879,7.805555556,8.567567568,15.425,14.75,0.787878788,-0.675,60,67
5e88da2b7e859234c8cba97e,-0.572801232,169.5585347,-0.005423661,42.39844105,US,Baltimore,24005,18.01301329,0.300471387,24.38501743,6.986986713,0.058759665,-97.54894748,39.51,-76.49,Baltimore,20200517,20200521,MDOT MTA,Maryland,24,30.20572717,49,54,0.409200947,1.614545056,0.451915965,7,6.2,15.025,15.1,-0.8,0.075,61,70
5e88da2b7e859234c8cba974,-0.755944794,128.4306502,0.017838874,36.36417241,US,Cook,17031,21.4698538,0.491940819,14.89406799,-43.4698538,0.059125146,-1071.169221,42.09,-87.98,Chicago,20200517,20200521,Metra,Illinois,17,28.91701311,2,48,0.320241863,1.838054536,0.558073138,7.375,8.575,16.925,15.05,1.2,-1.875,63,72
5e88da2b7e859234c8cba975,-0.657086925,399.460402,0.023255213,45.35436929,US,Harris,48201,16.64447426,0.255212472,28.70941194,2.355525745,0.052069454,-315.3108575,29.76,-95.38,Houston,20200517,20200521,METRO,Texas,48,30.99942177,43,41,0.187356455,1.421005961,0.495316315,7,8.5,16,15.2,1.5,-0.8,53,65
5e88da2b7e859234c8cba978,-0.702721488,16.14354202,-0.030744974,37.84088419,US,Ramsey,27123,20.74301575,0.428540161,17.09758073,-0.743015754,0.057241814,-8.852892818,44.94,-93.1,Minneapolis-Saint Paul,20200517,20200521,Metro Transit,Minnesota,27,29.29194997,44,37,0.520112816,1.857149896,0.612929845,7,6.482758621,15.975,15.1,-0.517241379,-0.875,81,73
5e88da2b7e859234c8cba977,-0.660509719,277.2859745,0.054695904,57.48931717,US,St Louis,29189,-3.195949623,0.120739739,60.68424565,25.19594962,0.048473716,-169.6412715,38.65,-90.58,St. Louis,20200517,20200521,Metro Transit St Louis,Missouri,29,27.14668377,46,31,0.083861682,1.557620741,0.34337153,8.083333333,8.161290323,15.5,15.25,0.315789474,-0.25,57,62
5e88da2b7e859234c8cba979,-0.672494031,34.23674088,0.01864241,35.21972994,US,Orange,6059,19.06847027,0.45365646,16.15098789,-39.06847027,0.045877655,-128.6713061,33.84,-118,Los Angeles,20200517,20200521,Metrolink,California,6,27.14410011,4,38,0.117302304,2.193114173,0.354495209,7,7.325,15.575,15.75,0.325,0.175,62,73
5e88da2b7e859234c8cba97b,-0.631864498,1527.182561,0.006292999,39.73182153,US,Miami-Dade,12086,22.24688268,0.419053412,17.48464464,3.753117324,0.046265172,-773.8803045,25.86,-80.29,Miami,20200517,20200521,Miami-Dade Transit,Florida,12,30.9893521,50,37,0.085565779,1.461002125,0.378209556,7,8.025,16.075,15.2,1.025,-0.875,54,76
5e88da2b7e859234c8cba97c,-0.914262692,25.13993279,0.006392742,39.88723875,US,Monterey,6053,17.94928272,0.333992979,21.93758689,14.05071728,0.051895356,-8.146966199,35.85,-120.8,Monterey,20200517,20200521,Monterey-Salinas Transit,California,6,28.91826073,56,37,0.116237265,1.973099173,0.755403618,7.725,9.051282051,16.625,14.2,1.307692308,-2.425,65,67
5e88da2b7e859234c8cba97d,-0.817982161,250.8508828,0.01167901,51.94633359,US,Washington,11001,17.08243822,0.210163644,34.86330872,4.917561782,0.056049161,-154.4784731,38.89,-77.03,Washington D.C.,20200517,20200521,Montgomery County Transit,D.C,11,34.5143859,46,27,0.134926267,1.28328305,0.322913115,7,6.225,15,15.125,-0.775,0.125,60,76
5e88da2b7e859234c8cba980,-0.680798011,4203.218329,-0.004734294,37.44507011,US,Bronx,36005,20.64275186,0.436078116,16.80203551,1.357248135,0.044662193,-2444.116674,40.71,-73.99,NYC,20200517,20200521,MTA - Bronx Buses,New York,36,29.04391099,46,36,0.34797589,1.913036158,0.456073172,7,7,15.125,15.25,0,0.125,56,79
5e88da2b7e859234c8cba981,-0.711826096,5474.09638,-0.00963191,36.98182064,US,Kings,36047,20.21406114,0.436976884,16.76747735,-1.214061145,0.041253974,-3531.21242,40.71,-73.99,NYC,20200517,20200521,MTA - Brooklyn Buses,New York,36,28.59794089,43,36,0.245389488,2.083949135,0.463850563,7,6.925,16.5,15.75,-0.075,-0.75,56,79
5e88da2b7e859234c8cba982,-0.766617847,2890.240667,-0.006351964,36.95236275,US,New York,36061,19.20842221,0.412936646,17.74364197,-3.208422205,0.038018792,-2026.888244,40.71,-73.99,NYC,20200517,20200521,MTA - Manhattan Buses,New York,36,28.08039248,40,36,0.286883162,2.210216172,0.58308755,7.05,6.6,17,15.775,-0.45,-1.225,56,79
5e88da2b7e859234c8cba983,-0.700006159,2890.240667,-0.00733535,37.3865444,US,New York,36061,19.92171157,0.419535839,17.46453896,-3.921711566,0.038018792,-2026.888244,40.71,-73.99,NYC,20200517,20200521,MTA - NYC Bus Company,New York,36,28.65412798,40,36,0.265343479,2.028243636,0.464813847,7,6.875,16.05,15.625,-0.125,-0.425,56,79
5e88da2b7e859234c8cba984,-0.723684183,2890.240667,-0.010828766,36.8045614,US,New York,36061,20.48239736,0.448906363,16.32188939,-4.482397358,0.038018792,-2026.888244,40.71,-73.99,NYC,20200517,20200521,MTA - NYC Subway,New York,36,28.64347938,40,36,0.265763023,2.052975497,0.487195748,7,6.875,16.625,15.625,-0.125,-1,56,79
5e88da2b7e859234c8cba985,-0.73198554,7126.636005,-0.005254434,38.03206834,US,Queens,36081,19.73636985,0.400483387,18.29539063,1.263630145,0.040452517,-4228.500173,40.71,-73.99,NYC,20200517,20200521,MTA - Queens Buses,New York,36,28.8842191,45,36,0.274875358,2.006669001,0.497783971,7,6.4,16.325,15.725,-0.6,-0.6,56,79
5e88da2b7e859234c8cba986,-0.767991919,1519.49968,-0.006203705,37.34011654,US,Richmond,36085,19.29535002,0.406052541,18.04446289,3.704649982,0.043532689,-852.8550736,40.71,-73.99,NYC,20200517,20200521,MTA - Staten Island Buses,New York,36,28.31773328,47,36,0.232526144,2.189907237,0.496605029,7,6.4,16.575,15.675,-0.6,-0.9,56,79
