_id,B,L_corona,b,convergent_point,country,county,county_FIPS,divergent_point,k,k_corona,l_corona,lat,lon,metro_area,modified_at,modified_at_corona,name,state,state_FIPS,t0,t0_corona,google_trend,distance,stretch_factor,average_procrustes_distance,first_peak_normal,first_peak_actual,second_peak_normal,second_peak_actual,first_peak_diff,second_peak_diff,pandemic_day_1,pandemic_day_2,pandemic_day_3,pandemic_day_4,pandemic_day_5,pandemic_day_6,pandemic_day_7,pandemic_day_10,pandemic_day_20,pandemic_day_30,pandemic_day_40,pandemic_day_50,pandemic_day_100
5e88da2b7e859234c8cba991,-0.640185121,262.5554925,0.005120821,35.89102026,US,Allegheny,42003,20.73298129,0.483382006,0.040070126,-110.4527351,40.54,-79.83,Pittsburgh,20200502,20200502,PAAC,Pennsylvania,42,28.31200077,54,35,0.193051617,1.759259986,0.425271594,7.2,7.095238095,15.67857143,14.92857143,-0.0625,-0.75,8,8,9,9,9,9,9,9,14,15,16,18,19
5e88da2b7e859234c8cba992,-0.728530015,1632.342685,0.021062415,36.44684996,US,Cook,17031,21.66525702,0.495692401,0.059125123,-1071.171274,42.09,-87.98,Chicago,20200502,20200502,Pace Bus,Illinois,17,29.05605349,45,48,0.257933279,1.78222296,0.505645951,7.15,8.851851852,15.92857143,15.07142857,1.6,-0.857142857,-43,-36,-6,-5,-2,0,1,2,4,6,6,7,10
5e88da2b7e859234c8cba994,-0.538082568,1599.492099,0.022324025,47.87117059,US,Miami-Dade,12086,15.34768695,0.225287161,0.046265251,-773.8758461,25.86,-80.29,Miami,20200502,20200502,Palm Tran,Florida,12,31.60942877,51,37,0.104775929,1.331477956,0.377437364,8.115384615,8.321428571,15.39285714,15.42857143,0.076923077,0.035714286,11,11,12,12,12,12,12,13,15,16,16,17,18
5e88da2b7e859234c8cba995,-0.780494396,914.5017569,-0.003148884,34.85965128,US,Los Angeles,6037,19.65432442,0.48187871,0.058254087,-693.6155376,33.97,-118.24,Los Angeles,20200502,20200502,Pasadena Transit,California,6,27.25698785,42,38,0.311213328,2.807316195,0.662870314,7.869565217,8.392857143,15.53571429,15.14285714,0.391304348,-0.392857143,-39,-1,-1,-1,-1,-1,-1,0,4,8,8,9,12
5e88da2b7e859234c8cba996,-0.480257633,1304.433987,-0.029798334,33.22958872,US,Philadelphia,42101,21.71690532,0.636439224,0.052231566,-596.1782726,39.95,-75.16,Philadelphia,20200502,20200502,PATCO,Pennsylvania,42,27.47324702,53,35,0.209653391,1.741268643,0.473476362,7.217391304,7.888888889,15.10714286,15.75,0.565217391,0.642857143,2,6,6,7,8,8,9,10,12,12,13,14,16
5e88da2b7e859234c8cba997,-0.754574459,3495.330122,0.007131422,37.99928887,US,New York,36061,18.59746409,0.377651245,0.038018903,-2026.870456,40.71,-73.99,NYC,20200502,20200502,PATH,New York,36,28.29837648,45,36,0.21484071,1.970079524,0.594237133,7,6.178571429,16.35714286,15.42857143,-0.9,-0.928571429,-2,1,1,2,3,3,3,5,8,8,10,10,12
5e88da2b7e859234c8cba998,-0.788405594,1096.47919,0.011105394,43.3265588,US,King,53033,6.85693525,0.200910308,0.032164781,-764.5689873,47.3,-122.26,Seattle,20200502,20200502,Pierce Transit,Washington,53,25.09174703,38,32,0.366609133,2.50034789,0.475666033,7.15,8.5,16.10714286,15.82142857,1.35,-0.285714286,-30,8,8,8,8,8,9,10,11,12,13,13,17
5e88da2b7e859234c8cba999,-0.885286484,188.785626,-0.018926268,37.16186035,US,San Francisco,6075,12.57211586,0.297974763,0.04178657,-106.8536016,37.77,-122.41,SF Bay Area,20200502,20200502,PresidiGo,California,6,24.8669881,45,33,,,,,,,,,,7,7,9,9,9,9,9,11,15,17,18,20,24
5e88da2b7e859234c8cba99a,-0.530944243,262.0728187,0.02261518,52.75749651,US,Hillsborough,12057,17.58157592,0.208299404,0.038349378,-106.9899033,27.76,-82.26,Tampa,20200502,20200502,PSTA,Florida,12,35.16953622,55,30,0.04327803,1.1446908,0.38493286,7.1,8.642857143,15.85714286,15.10714286,1.35,-0.75,-1,8,11,11,13,14,14,15,16,17,17,19,22
5e88da2b7e859234c8cba99b,-0.801620786,408.2038641,0.00078606,38.23077508,US,Providence,44007,19.4380767,0.389892028,0.078382651,-113.6182283,41.95,-71.45,Providence,20200502,20200502,RIPTA,Rhode Island,44,28.83442589,63,34,0.576490243,2.102318159,0.625360694,7.25,9.307692308,15.07142857,14.35714286,2.526315789,-0.714285714,-4,-3,2,8,20,20,20,20,20,20,20,20,21
5e88da2b7e859234c8cba99c,-0.707232471,223.8628725,-0.001206285,37.7685646,US,Riverside,6065,17.36047764,0.359030384,0.058123198,-146.4079495,33.99,-117.53,Los Angeles,20200502,20200502,Riverside Transit Agency,California,6,27.56452112,47,38,0.194860845,2.179177944,0.496890686,7.5,8.535714286,15.71428571,15.5,0.590909091,-0.214285714,5,6,6,6,6,6,7,12,16,18,19,21,22
5e88da2b7e859234c8cba99d,-0.648205644,515.3281952,-0.016590921,40.82458431,US,Clark,32003,21.19282026,0.373227962,0.04499512,-246.6162898,36.14,-115.28,Las Vegas,20200502,20200502,RTC Southern Nevada,Nevada,32,31.00870229,50,39,0.071270368,1.341114303,0.319489221,7,7.230769231,14.89285714,14.14285714,-0.375,-0.75,-2,1,3,3,3,5,5,6,9,9,10,12,13
5e88da2b7e859234c8cba99e,-0.789915565,176.2481455,6.35373E-05,39.46218293,US,Denver,8031,17.53974439,0.334229391,0.058305695,-77.89785022,39.59,-105.01,Denver,20200502,20200502,RTD,Colorado,8,28.50096366,49,46,0.53366876,2.314782128,0.530211557,7.05,8.259259259,15.75,14.75,1,-1,3,3,6,7,7,8,9,9,11,14,16,17,19
