Agency Name,Metro Area
RTC,"Québec, CANQuebec"
STL Lévis,"Québec, CANQuebec"
Regina Transit,"Regina, CANSaskatchewan"
University of California Berkeley - Bear Transit,"SF Bay Area, USCalifornia"
PresidiGo,"SF Bay Area, USCalifornia"
SamTrans,"SF Bay Area, USCalifornia"
Capitol Corridor,"SF Bay Area, USCalifornia"
Golden Gate Transit,"SF Bay Area, USCalifornia"
County Connection,"SF Bay Area, USCalifornia"
BART,"SF Bay Area, USCalifornia"
MUNI - SFMTA,"SF Bay Area, USCalifornia"
Caltrain,"SF Bay Area, USCalifornia"
AC Transit,"SF Bay Area, USCalifornia"
VTA,"SF Bay Area, USCalifornia"
UTA,"Salt Lake City, USUtah"
VIA,"San Antonio, USTexas"
NCTD,"San Diego, USCalifornia"
MTS,"San Diego, USCalifornia"
Santa Cruz Metro,"Santa Cruz, USCalifornia"
Saskatoon Transit,"Saskatoon, CANSaskatchewan"
Pierce Transit,"Seattle, USWashington"
Community Transit,"Seattle, USWashington"
City of Seattle,"Seattle, USWashington"
King County Metro,"Seattle, USWashington"
Sound Transit,"Seattle, USWashington"
STS,"Sherbrooke, CANQuebec"
Metro Transit St Louis,"St. Louis, USMissouri"
CTS,"Strasbourg, FRGrand-Est"
Hillsborough Area Regional Transit Authority,"Tampa, USFlorida"
PSTA,"Tampa, USFlorida"
Thunder Bay Transit,"Thunder Bay, CANOntario"
Oakville Transit,"Toronto, CANOntario"
MiWay,"Toronto, CANOntario"
TTC - Subway,"Toronto, CANOntario"
Durham Region Transit,"Toronto, CANOntario"
GO Transit,"Toronto, CANOntario"
TTC - Buses & Streetcars,"Toronto, CANOntario"
UP Express,"Toronto, CANOntario"
York Region Transit,"Toronto, CANOntario"
Burlington Transit,"Toronto, CANOntario"
Hamilton Street Railway,"Toronto, CANOntario"
Brampton Transit,"Toronto, CANOntario"
STTR,"Trois-Rivières, CANQuebec"
C-TRAN,"Vancouver, USWashington"
West Coast Express,"Vancouver, CANBritish Columbia"
TransLink,"Vancouver, CANBritish Columbia"
BC Transit,"Victoria, CANBritish Columbia"
Fairfax Connector,"Washington D.C., USVirginia"
Montgomery County Transit,"Washington D.C., USDistrict of Columbia"
WMATA,"Washington D.C., USDistrict of Columbia"
DC Circulator,"Washington D.C., USDistrict of Columbia"
BC Transit,"Whistler, CANBritish Columbia"
Transit Windsor,"Windsor, CANOntario"
Winnipeg Transit,"Winnipeg, CANManitoba"
Worcester RTA,"Worcester, USMassachusetts"
