DMA,COVID19: (1/18/20 - 4/17/20),Coronavirus: (1/18/20 - 4/17/20)
Abilene-Sweetwater TX,51,54
Albany GA,45,54
Albany-Schenectady-Troy NY,61,71
Albuquerque-Santa Fe NM,63,76
Alexandria LA,63,60
Alpena MI,91,100
Amarillo TX,57,55
Anchorage AK,89,68
Atlanta GA,55,68
Augusta GA,48,56
Austin TX,63,69
Bakersfield CA,56,62
Baltimore MD,61,70
Bangor ME,69,73
Baton Rouge LA,46,60
Beaumont-Port Arthur TX,44,52
Bend OR,84,71
"Billings, MT",59,71
Biloxi-Gulfport MS,59,57
Binghamton NY,77,69
Birmingham AL,58,63
Bluefield-Beckley-Oak Hill WV,50,71
Boise ID,67,83
Boston MA-Manchester NH,71,74
Bowling Green KY,60,61
Buffalo NY,60,64
Burlington VT-Plattsburgh NY,88,71
Butte-Bozeman MT,74,82
Casper-Riverton WY,62,74
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,68,66
Champaign & Springfield-Decatur IL,64,59
Charleston SC,53,62
Charleston-Huntington WV,62,63
Charlotte NC,48,62
Charlottesville VA,75,68
Chattanooga TN,54,61
Cheyenne WY-Scottsbluff NE,74,69
Chicago IL,63,72
Chico-Redding CA,66,67
Cincinnati OH,57,69
Clarksburg-Weston WV,51,76
Cleveland-Akron (Canton) OH,53,70
Colorado Springs-Pueblo CO,73,69
Columbia SC,45,54
Columbia-Jefferson City MO,66,59
Columbus GA,40,58
Columbus OH,58,69
Columbus-Tupelo-West Point MS,42,57
Corpus Christi TX,54,56
Dallas-Ft. Worth TX,56,63
Davenport IA-Rock Island-Moline IL,58,62
Dayton OH,52,67
Denver CO,76,76
Des Moines-Ames IA,67,63
Detroit MI,68,79
Dothan AL,45,68
Duluth MN-Superior WI,86,73
El Paso TX,52,63
Elmira NY,56,70
Erie PA,56,65
Eugene OR,66,74
Eureka CA,77,67
Evansville IN,57,60
Fairbanks AK,93,69
Fargo-Valley City ND,65,71
Flint-Saginaw-Bay City MI,67,73
Florence-Myrtle Beach SC,46,56
Fresno-Visalia CA,55,61
Ft. Myers-Naples FL,70,73
Ft. Smith-Fayetteville-Springdale-Rogers AR,66,63
Ft. Wayne IN,55,63
Gainesville FL,75,69
Glendive MT,87,79
Grand Junction-Montrose CO,84,67
Grand Rapids-Kalamazoo-Battle Creek MI,65,73
Great Falls MT,71,68
Green Bay-Appleton WI,63,72
Greensboro-High Point-Winston Salem NC,49,60
Greenville-New Bern-Washington NC,45,59
Greenville-Spartanburg SC-Asheville NC-Anderson SC,58,64
Greenwood-Greenville MS,35,52
Harlingen-Weslaco-Brownsville-McAllen TX,39,52
Harrisburg-Lancaster-Lebanon-York PA,64,71
Harrisonburg VA,48,64
Hartford & New Haven CT,65,72
Hattiesburg-Laurel MS,39,59
Helena MT,80,77
Honolulu HI,93,76
Houston TX,53,65
Huntsville-Decatur (Florence) AL,60,67
Idaho Falls-Pocatello ID,64,73
Indianapolis IN,60,63
Jackson MS,38,55
Jackson TN,45,56
Jacksonville FL,54,60
Johnstown-Altoona PA,62,77
Jonesboro AR,69,58
Joplin MO-Pittsburg KS,71,64
Juneau AK,100,79
Kansas City MO,53,62
Knoxville TN,62,65
La Crosse-Eau Claire WI,71,69
Lafayette IN,65,68
Lafayette LA,51,54
Lake Charles LA,58,60
Lansing MI,65,75
Laredo TX,37,50
Las Vegas NV,53,70
Lexington KY,77,59
Lima OH,64,69
Lincoln & Hastings-Kearney NE,67,60
Little Rock-Pine Bluff AR,59,61
Los Angeles CA,62,73
Louisville KY,57,60
Lubbock TX,47,53
Macon GA,52,54
Madison WI,65,69
Mankato MN,62,69
Marquette MI,99,79
Medford-Klamath Falls OR,75,69
Memphis TN,45,55
Meridian MS,35,56
Miami-Ft. Lauderdale FL,54,76
Milwaukee WI,60,67
Minneapolis-St. Paul MN,81,73
Minot-Bismarck-Dickinson(Williston) ND,56,71
Missoula MT,82,81
Mobile AL-Pensacola (Ft. Walton Beach) FL,51,58
Monroe LA-El Dorado AR,59,59
Monterey-Salinas CA,65,67
Montgomery (Selma) AL,30,50
Nashville TN,61,63
New Orleans LA,54,60
New York NY,56,79
Norfolk-Portsmouth-Newport News VA,49,62
North Platte NE,67,60
