DMA,COVID19: (1/18/20 - 4/17/20),Coronavirus: (1/18/20 - 4/17/20)
Odessa-Midland TX,43,58
Oklahoma City OK,56,59
Omaha NE,64,60
Orlando-Daytona Beach-Melbourne FL,57,72
Ottumwa IA-Kirksville MO,54,67
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,68,58
Palm Springs CA,61,69
Panama City FL,62,68
Parkersburg WV,86,79
Peoria-Bloomington IL,61,60
Philadelphia PA,63,72
Phoenix AZ,61,73
Pittsburgh PA,59,73
Portland OR,67,73
Portland-Auburn ME,75,75
Presque Isle ME,63,73
Providence RI-New Bedford MA,59,70
Quincy IL-Hannibal MO-Keokuk IA,56,61
Raleigh-Durham (Fayetteville) NC,51,62
Rapid City SD,63,73
Reno NV,72,69
Richmond-Petersburg VA,57,65
Roanoke-Lynchburg VA,57,64
Rochester MN-Mason City IA-Austin MN,84,68
Rochester NY,60,66
Rockford IL,62,60
Sacramento-Stockton-Modesto CA,64,66
Salisbury MD,61,69
Salt Lake City UT,63,70
San Angelo TX,53,55
San Antonio TX,53,59
San Diego CA,71,74
San Francisco-Oakland-San Jose CA,65,78
Santa Barbara-Santa Maria-San Luis Obispo CA,70,69
Savannah GA,53,62
Seattle-Tacoma WA,74,78
Sherman TX-Ada OK,58,58
Shreveport LA,53,55
Sioux City IA,69,63
Sioux Falls(Mitchell) SD,73,66
South Bend-Elkhart IN,52,66
Spokane WA,67,69
Springfield MO,64,65
Springfield-Holyoke MA,58,61
St. Joseph MO,45,57
St. Louis MO,57,62
Syracuse NY,58,69
Tallahassee FL-Thomasville GA,50,63
Tampa-St. Petersburg (Sarasota) FL,58,70
Terre Haute IN,57,62
Toledo OH,60,65
Topeka KS,56,60
Traverse City-Cadillac MI,88,82
Tri-Cities TN-VA,58,63
Tucson (Sierra Vista) AZ,64,71
Tulsa OK,62,58
Twin Falls ID,64,80
Tyler-Longview(Lufkin & Nacogdoches) TX,52,55
Utica NY,51,65
Victoria TX,42,54
Waco-Temple-Bryan TX,49,51
Washington DC (Hagerstown MD),60,76
Watertown NY,58,57
Wausau-Rhinelander WI,75,73
West Palm Beach-Ft. Pierce FL,59,75
Wheeling WV-Steubenville OH,61,73
Wichita Falls TX & Lawton OK,46,56
Wichita-Hutchinson KS,61,63
Wilkes Barre-Scranton PA,62,74
Wilmington NC,59,66
Yakima-Pasco-Richland-Kennewick WA,57,64
Youngstown OH,52,65
Yuma AZ-El Centro CA,60,60
Zanesville OH,66,68
